Timestamp (us) | Payload (ASCII)
------------------------------------------------------------
[00000] 9190600      | ativo frequencia falha\0
[00001] 14191600     | ativo warning uart corrente\0
[00002] 19191995     | recebido ativo pressao\0
[00003] 24192541     | falha telemetria ativo\0
[00004] 29193253     | controle warning operando\0
[00005] 34193663     | sensor tensao corrente\0
[00006] 39194210     | bateria sensor tensao\0
[00007] 44194972     | erro motor estado pressao\0
[00008] 49195236     | erro motor corrente\0
[00009] 54196043     | falha gpio tensao erro\0
[00010] 59196670     | pressao sistema falha\0
[00011] 64197483     | frequencia enviado pacote\0
[00012] 69197953     | frequencia inicializado\0
[00013] 74198474     | corrente inicializado\0
[00014] 79199289     | pacote pressao sensor\0
[00015] 84199861     | pacote estado estado\0
[00016] 89200490     | operando enviado falha\0
[00017] 94201274     | enviado recebido controle\0
[00018] 99201589     | ativo sistema pressao\0
[00019] 104202236    | warning sensor enviado\0
[00020] 109203135    | pacote sistema inicializado\0
[00021] 114203342    | controle telemetria\0
[00022] 119204026    | temperatura pressao\0
[00023] 124204703    | sistema tensao pacote\0
[00024] 129205460    | gpio inicializado motor\0
[00025] 134206089    | estado ok estado warning\0
[00026] 139206473    | corrente frequencia\0
[00027] 144207001    | ativo ativo warning\0
[00028] 149207937    | frequencia sistema pressao\0
[00029] 154208470    | pacote falha recebido\0
[00030] 159209147    | corrente ativo tensao\0
[00031] 164209909    | uart bateria motor ativo\0
[00032] 169210527    | enviado corrente pressao\0
[00033] 174211238    | controle estado ok warning\0
[00034] 179211601    | pacote gpio pressao\0
[00035] 184212807    | bateria ativo sensor\0
[00036] 189213254    | sensor ativo uart pressao\0
[00037] 194213950    | bateria frequencia pressao\0
[00038] 199214352    | ok enviado sensor estado\0
[00039] 204215023    | pacote enviado telemetria\0
[00040] 209215445    | ok ativo pacote sistema\0
[00041] 214216331    | gpio inicializado frequencia\0
