Timestamp (us) | Edge | Level
-----------------------------------
[00000] 36228750     | edge=1 level=1
[00001] 36294694     | edge=0 level=0
[00002] 36445895     | edge=1 level=1
[00003] 36988064     | edge=0 level=0
[00004] 37048482     | edge=1 level=1
[00005] 39311094     | edge=0 level=0
[00006] 39361642     | edge=1 level=1
[00007] 53203379     | edge=0 level=0
[00008] 53339982     | edge=1 level=1
[00009] 57218323     | edge=0 level=0
[00010] 57268333     | edge=1 level=1
[00011] 57348789     | edge=0 level=0
